hole 1,hole 2,winrate
Js,Kh,0.628215
Js,Ks,0.640475
Js,Ac,0.67133
Js,Ad,0.67109
Js,Ah,0.669795
Js,As,0.68238
Qc,Qd,0.857735
Qc,Qh,0.857015
Qc,Qs,0.858885
Qc,Kc,0.649795
Qc,Kd,0.63495
Qc,Kh,0.63551
Qc,Ks,0.637915
Qc,Ac,0.69071
Qc,Ad,0.679785
Qc,Ah,0.6824
Qc,As,0.681655
Qd,Qh,0.85799
Qd,Qs,0.85696
Qd,Kc,0.638245
Qd,Kd,0.649965
Qd,Kh,0.638215
Qd,Ks,0.63744
Qd,Ac,0.68127
Qd,Ad,0.690475
Qd,Ah,0.680445
Qd,As,0.681915
Qh,Qs,0.8559
Qh,Kc,0.637195
Qh,Kd,0.63907
Qh,Kh,0.650245
Qh,Ks,0.64081
Qh,Ac,0.682565
Qh,Ad,0.680285
Qh,Ah,0.690575
Qh,As,0.68136
Qs,Kc,0.63828
Qs,Kd,0.63778
Qs,Kh,0.637145
Qs,Ks,0.649705
Qs,Ac,0.68262
Qs,Ad,0.679295
Qs,Ah,0.68221
Qs,As,0.69263
Kc,Kd,0.88103
Kc,Kh,0.88428
Kc,Ks,0.88426
Kc,Ac,0.69943
Kc,Ad,0.689495
Kc,Ah,0.69161
Kc,As,0.691355
Kd,Kh,0.884155
Kd,Ks,0.88429
Kd,Ac,0.69293
Kd,Ad,0.69861
Kd,Ah,0.68849
Kd,As,0.690505
Kh,Ks,0.885885
Kh,Ac,0.69042
Kh,Ad,0.688945
Kh,Ah,0.704785
Kh,As,0.688785
Ks,Ac,0.689905
Ks,Ad,0.690755
Ks,Ah,0.692505
Ks,As,0.70476
Ac,Ad,0.90879
Ac,Ah,0.909935
Ac,As,0.91
Ad,Ah,0.91068
Ad,As,0.90993
Ah,As,0.91157
