information set,action 0,action 1,action 2,action 3,action 4,action 5,action 6,action 7,action 8,action 9
1|1|2|12|8|0|5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|8|6|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|8|6|0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1|1|2|12|8|5|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|8|5|0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1|1|2|12|8|7|6,0.4579537157254877,0.4579537157254877,0.0,0.08409256854902454,0.0,0.0,0.0
1|1|2|12|8|0|6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|0|7|0,0.8738611471764631,0.12613885282353685,0.0,0.0,0.0,0.0,0.0
1|1|2|12|8|0|0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
1|1|2|12|8|8|7,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
1|1|2|12|8|7|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|0|0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|0|9|8,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
1|1|2|12|8|8|8,0.10971801390775375,0.0,0.10971801390775375,0.10971801390775375,0.10971801390775375,0.10971801390775375,0.45140993046123123
1|1|2|12|8|8|6,0.4761904761904762,0.4761904761904762,0.0,0.047619047619047616,0.0,0.0,0.0
1|1|2|12|8|6|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|0|0|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|0|0|0|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|11|0|0|0,0.9700455100810229,0.0,0.029954489918977034,0.0,0.0,0.0,0.0
1|1|2|11|1|0|0,0.9755317251428686,0.0,0.024468274857131544,0.0,0.0,0.0,0.0
1|1|2|1|0|9|9,0.15141720451990387,0.0,0.06515780879715757,0.15158417995711465,0.17628838177658743,0.18252140364318714,0.2730310213060492
1|1|2|1|1|9|9,0.2571621327529531,0.0,0.07347489507227231,0.2571621327529531,0.0770716670574787,0.07639631719965483,0.25873285516468786
1|1|2|1|1|0|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|9|0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|9|7,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
1|1|2|1|1|0|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|8|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|8|0,0.9268707259817605,0.07312927401823954,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|7|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|7|0,0.9527891290562625,0.047210870943737465,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|9|8,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
1|1|2|1|1|0|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|0|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|0|0,0.9178119938058793,0.0,0.0821880061941207,0.0,0.0,0.0,0.0
1|1|2|1|1|8|7,0.8919916966289577,0.02767665970532706,0.0,0.027038475397252994,0.0,0.0,0.05329316826846202
1|1|2|1|1|7|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|9|0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|9|7,0.3889429097247924,0.3875463588604114,0.0,0.22351073141479622,0.0,0.0,0.0
1|1|2|1|1|7|7,0.933940445215072,0.009193933695811875,0.00040422559700519975,0.01344050110042289,0.00040422559700519975,0.00040422559700519975,0.04221244319767767
1|1|2|1|1|7|5,0.9306967846864986,0.034704941526318464,0.0,0.034598273787182866,0.0,0.0,0.0
1|1|2|1|1|0|5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|6|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|6|0,0.9942278098586034,0.005772190141396725,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|5|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|5|0,0.9801971934815873,0.019802806518412656,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|7|6,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.0,0.0,0.0
1|1|2|1|1|0|6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|0|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|8|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|1|8|8,0.20192785663754267,0.0,0.03174948619600623,0.04899413949605222,0.15930898986188474,0.28052099518621876,0.27749853262229535
1|1|2|1|1|8|6,0.9045410324142443,0.04867292484393792,0.0,0.046786042741817656,0.0,0.0,0.0
1|1|2|1|1|6|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|8|0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|7|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|7|0,0.993191070533951,0.006808929466049049,0.0,0.0,0.0,0.0,0.0
1|1|2|1|0|9|8,0.3209699204024418,0.3974053216209741,0.0,0.22094136366994935,0.0,0.0,0.06068339430663465
1|1|2|1|0|0|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|0|0|9|0,0.980857405802293,0.019142594197707065,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|9|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|0|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|8|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|8|0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|8|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|7|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|9|0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|9|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|0|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|7|8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|2|9|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|0|8|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|1|7|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|1|6|7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1|1|2|12|1|6|5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
